year,age,sex,education,health,wage
2005,57,1. Male,5. Advanced Degree,2. >=Very Good,200.543262324662
2008,71,1. Male,3. Some College,2. >=Very Good,101.82435207568001
2004,43,1. Male,4. College Grad,2. >=Very Good,272.294783220064
2003,23,1. Male,3. Some College,2. >=Very Good,35.0334213214995
2009,30,1. Male,5. Advanced Degree,2. >=Very Good,114.475713290347
2004,22,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2006,59,1. Male,5. Advanced Degree,1. <=Good,200.543262324662
2003,28,1. Male,4. College Grad,2. >=Very Good,148.413159102577
2004,61,1. Male,2. HS Grad,2. >=Very Good,99.6894636984864
2003,34,1. Male,2. HS Grad,2. >=Very Good,111.72084936098899
2005,43,1. Male,4. College Grad,2. >=Very Good,152.838800991182
2006,54,1. Male,3. Some College,2. >=Very Good,117.14681691480499
2005,69,1. Male,2. HS Grad,1. <=Good,77.73760330397809
2004,41,1. Male,3. Some College,1. <=Good,87.98103278560541
2003,48,1. Male,5. Advanced Degree,2. >=Very Good,125.525498433836
2003,49,1. Male,3. Some College,2. >=Very Good,123.336103962059
2009,42,1. Male,2. HS Grad,2. >=Very Good,158.29462142779101
2003,37,1. Male,4. College Grad,2. >=Very Good,200.543262324662
2004,55,1. Male,2. HS Grad,2. >=Very Good,99.6894636984864
2008,21,1. Male,2. HS Grad,2. >=Very Good,70.47601964694451
2004,58,1. Male,2. HS Grad,2. >=Very Good,94.0727147457005
2006,31,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2006,25,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2006,32,1. Male,3. Some College,2. >=Very Good,100.76427284210699
2009,40,1. Male,1. < HS Grad,2. >=Very Good,94.0727147457005
2003,44,1. Male,5. Advanced Degree,2. >=Very Good,99.6894636984864
2003,60,1. Male,4. College Grad,2. >=Very Good,268.266292012557
2006,23,1. Male,1. < HS Grad,1. <=Good,81.2832532842527
2003,63,1. Male,2. HS Grad,2. >=Very Good,113.56708956975099
2008,44,1. Male,1. < HS Grad,1. <=Good,87.98103278560541
2005,47,1. Male,5. Advanced Degree,1. <=Good,128.680488220624
2004,61,1. Male,3. Some College,2. >=Very Good,106.723977625299
2009,55,1. Male,5. Advanced Degree,2. >=Very Good,66.04469423180561
2003,24,1. Male,1. < HS Grad,1. <=Good,51.52195631471599
2007,42,1. Male,2. HS Grad,2. >=Very Good,85.3839403789827
2006,25,1. Male,2. HS Grad,2. >=Very Good,76.8936025176112
2004,34,1. Male,2. HS Grad,2. >=Very Good,90.48191335664009
2009,53,1. Male,1. < HS Grad,2. >=Very Good,68.0764282889521
2009,53,1. Male,4. College Grad,2. >=Very Good,130.982177377461
2009,70,1. Male,5. Advanced Degree,1. <=Good,127.901232979118
2004,47,1. Male,4. College Grad,2. >=Very Good,131.224593755096
2003,46,1. Male,2. HS Grad,2. >=Very Good,99.6894636984864
2003,33,1. Male,1. < HS Grad,1. <=Good,76.8936025176112
2005,34,1. Male,5. Advanced Degree,2. >=Very Good,107.90392386687599
2006,22,1. Male,2. HS Grad,1. <=Good,81.2832532842527
2009,74,1. Male,2. HS Grad,2. >=Very Good,99.6894636984864
2003,40,1. Male,3. Some College,1. <=Good,98.5993438603892
2006,45,1. Male,4. College Grad,2. >=Very Good,200.543262324662
2009,43,1. Male,4. College Grad,2. >=Very Good,156.503510882633
2005,33,1. Male,4. College Grad,2. >=Very Good,144.94436498051599
