year,age,sex,education,health,wage
2003,45,1. Male,5. Advanced Degree,2. >=Very Good,41.0998036301194
2003,22,1. Male,2. HS Grad,2. >=Very Good,68.3956538035455
2005,25,1. Male,3. Some College,1. <=Good,81.2832532842527
2004,25,1. Male,2. HS Grad,2. >=Very Good,73.77574327469459
2005,41,1. Male,1. < HS Grad,2. >=Very Good,130.982177377461
2006,54,1. Male,4. College Grad,2. >=Very Good,148.413159102577
2007,23,1. Male,2. HS Grad,2. >=Very Good,81.226746312023
2006,36,1. Male,5. Advanced Degree,2. >=Very Good,63.1888610037461
2004,31,1. Male,3. Some College,1. <=Good,94.0727147457005
2006,52,1. Male,2. HS Grad,1. <=Good,92.6581301668597
2007,46,1. Male,2. HS Grad,1. <=Good,76.8936025176112
2007,45,1. Male,2. HS Grad,1. <=Good,118.884359339886
2009,40,1. Male,2. HS Grad,1. <=Good,79.8549003093467
2004,33,1. Male,4. College Grad,2. >=Very Good,86.6951548289402
2007,42,1. Male,4. College Grad,2. >=Very Good,133.971500070695
2007,41,1. Male,4. College Grad,2. >=Very Good,125.525498433836
2007,25,1. Male,2. HS Grad,2. >=Very Good,92.89584478949659
2005,24,1. Male,2. HS Grad,2. >=Very Good,72.15045568157129
2006,24,1. Male,3. Some College,2. >=Very Good,118.884359339886
2008,51,1. Male,2. HS Grad,1. <=Good,70.47601964694451
2004,41,1. Male,2. HS Grad,2. >=Very Good,127.115743812184
2009,42,1. Male,4. College Grad,2. >=Very Good,114.475713290347
2005,30,1. Male,4. College Grad,2. >=Very Good,87.98103278560541
2009,55,1. Male,1. < HS Grad,2. >=Very Good,54.59815003314421
2008,23,1. Male,2. HS Grad,2. >=Very Good,84.0459576539924
2003,60,1. Male,4. College Grad,2. >=Very Good,85.3839403789827
2003,40,1. Male,5. Advanced Degree,2. >=Very Good,141.77517233318
2008,41,1. Male,2. HS Grad,2. >=Very Good,110.782650276254
2003,80,1. Male,2. HS Grad,1. <=Good,79.8549003093467
2005,53,1. Male,2. HS Grad,2. >=Very Good,97.49329404539341
2004,40,1. Male,2. HS Grad,2. >=Very Good,171.765132627508
2009,35,1. Male,3. Some College,1. <=Good,137.481247831663
2009,55,1. Male,1. < HS Grad,1. <=Good,75.3556793180091
2008,24,1. Male,2. HS Grad,2. >=Very Good,73.77574327469459
2007,39,1. Male,4. College Grad,2. >=Very Good,148.413159102577
2003,30,1. Male,5. Advanced Degree,2. >=Very Good,95.23071256698191
2005,68,1. Male,2. HS Grad,1. <=Good,87.98103278560541
2004,54,1. Male,2. HS Grad,1. <=Good,109.833985642199
2008,27,1. Male,4. College Grad,2. >=Very Good,81.2832532842527
2005,34,1. Male,2. HS Grad,2. >=Very Good,118.884359339886
2004,53,1. Male,5. Advanced Degree,1. <=Good,127.115743812184
2004,48,1. Male,5. Advanced Degree,2. >=Very Good,85.3839403789827
2005,59,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2004,30,1. Male,3. Some College,2. >=Very Good,118.884359339886
2007,45,1. Male,5. Advanced Degree,2. >=Very Good,163.515863976238
2007,39,1. Male,4. College Grad,1. <=Good,104.921506533664
2008,45,1. Male,4. College Grad,1. <=Good,99.6894636984864
2007,43,1. Male,5. Advanced Degree,2. >=Very Good,281.745970551857
2003,30,1. Male,5. Advanced Degree,2. >=Very Good,138.299126920883
2005,57,1. Male,4. College Grad,2. >=Very Good,176.98965048987702
