year,age,sex,education,health,wage
2003,48,1. Male,2. HS Grad,2. >=Very Good,97.49329404539341
2006,47,1. Male,3. Some College,2. >=Very Good,134.705375118879
2005,47,1. Male,1. < HS Grad,1. <=Good,61.1875264339915
2007,35,1. Male,4. College Grad,1. <=Good,118.884359339886
2008,49,1. Male,2. HS Grad,2. >=Very Good,65.1108537153447
2004,40,1. Male,3. Some College,2. >=Very Good,109.833985642199
2004,32,1. Male,4. College Grad,2. >=Very Good,104.921506533664
2008,57,1. Male,4. College Grad,2. >=Very Good,73.77574327469459
2008,56,1. Male,4. College Grad,2. >=Very Good,141.77517233318
2009,73,1. Male,1. < HS Grad,1. <=Good,90.48191335664009
2007,29,1. Male,2. HS Grad,1. <=Good,73.77574327469459
2003,49,1. Male,5. Advanced Degree,2. >=Very Good,134.705375118879
2009,30,1. Male,2. HS Grad,2. >=Very Good,109.833985642199
2008,29,1. Male,2. HS Grad,2. >=Very Good,91.69922611170419
2004,36,1. Male,3. Some College,2. >=Very Good,95.23071256698191
2009,39,1. Male,5. Advanced Degree,2. >=Very Good,156.503510882633
2007,48,1. Male,4. College Grad,2. >=Very Good,104.921506533664
2006,45,1. Male,4. College Grad,2. >=Very Good,99.6894636984864
2004,50,1. Male,4. College Grad,1. <=Good,54.59815003314421
2003,42,1. Male,4. College Grad,2. >=Very Good,32.3664131748549
2007,58,1. Male,3. Some College,1. <=Good,118.884359339886
2007,48,1. Male,2. HS Grad,2. >=Very Good,109.833985642199
2003,48,1. Male,4. College Grad,2. >=Very Good,109.833985642199
2005,45,1. Male,3. Some College,2. >=Very Good,118.884359339886
2007,41,1. Male,3. Some College,2. >=Very Good,110.782650276254
2008,27,1. Male,2. HS Grad,2. >=Very Good,93.5572673479306
2004,44,1. Male,2. HS Grad,2. >=Very Good,109.833985642199
2003,32,1. Male,4. College Grad,2. >=Very Good,118.884359339886
2006,46,1. Male,1. < HS Grad,2. >=Very Good,118.884359339886
2005,52,1. Male,2. HS Grad,1. <=Good,52.15617116991471
2003,22,1. Male,3. Some College,2. >=Very Good,43.735111677982104
2004,53,1. Male,2. HS Grad,2. >=Very Good,117.14681691480499
2008,34,1. Male,5. Advanced Degree,1. <=Good,118.884359339886
2009,38,1. Male,2. HS Grad,2. >=Very Good,148.413159102577
2009,42,1. Male,1. < HS Grad,2. >=Very Good,101.82435207568001
2005,25,1. Male,3. Some College,2. >=Very Good,94.0727147457005
2004,29,1. Male,3. Some College,2. >=Very Good,86.6951548289402
2005,28,1. Male,5. Advanced Degree,2. >=Very Good,141.77517233318
2005,46,1. Male,4. College Grad,2. >=Very Good,66.9616443217359
2007,55,1. Male,5. Advanced Degree,2. >=Very Good,118.884359339886
2004,56,1. Male,2. HS Grad,1. <=Good,105.76763962275801
2005,41,1. Male,2. HS Grad,1. <=Good,118.884359339886
2009,61,1. Male,5. Advanced Degree,2. >=Very Good,176.98965048987702
2003,47,1. Male,2. HS Grad,2. >=Very Good,65.1108537153447
2006,52,1. Male,3. Some College,2. >=Very Good,85.3839403789827
2004,27,1. Male,2. HS Grad,2. >=Very Good,72.15045568157129
2007,33,1. Male,3. Some College,2. >=Very Good,89.2428846644714
2003,58,1. Male,2. HS Grad,1. <=Good,65.1108537153447
2005,27,1. Male,4. College Grad,2. >=Very Good,145.80516337462498
2009,52,1. Male,2. HS Grad,2. >=Very Good,87.98103278560541
