year,age,sex,education,health,wage
2006,27,1. Male,1. < HS Grad,1. <=Good,73.77574327469459
2006,44,1. Male,2. HS Grad,2. >=Very Good,127.115743812184
2006,49,1. Male,3. Some College,2. >=Very Good,118.884359339886
2003,22,1. Male,3. Some College,1. <=Good,34.6074177301288
2007,45,1. Male,3. Some College,1. <=Good,114.475713290347
2007,33,1. Male,3. Some College,2. >=Very Good,85.3839403789827
2007,63,1. Male,5. Advanced Degree,2. >=Very Good,318.342430056529
2006,49,1. Male,4. College Grad,2. >=Very Good,141.77517233318
2005,39,1. Male,5. Advanced Degree,2. >=Very Good,130.982177377461
2007,25,1. Male,1. < HS Grad,1. <=Good,73.77574327469459
2005,29,1. Male,5. Advanced Degree,2. >=Very Good,130.982177377461
2006,37,1. Male,2. HS Grad,2. >=Very Good,75.0431540173515
2008,35,1. Male,5. Advanced Degree,1. <=Good,154.990260276812
2009,46,1. Male,2. HS Grad,1. <=Good,104.921506533664
2008,58,1. Male,4. College Grad,2. >=Very Good,73.118306923864
2003,39,1. Male,5. Advanced Degree,2. >=Very Good,123.089699847943
2008,41,1. Male,4. College Grad,2. >=Very Good,157.700527725737
2008,29,1. Male,4. College Grad,2. >=Very Good,81.2832532842527
2009,37,1. Male,4. College Grad,1. <=Good,107.256062128429
2009,62,1. Male,2. HS Grad,1. <=Good,78.9816745162994
2008,27,1. Male,2. HS Grad,2. >=Very Good,73.77574327469459
2003,37,1. Male,2. HS Grad,1. <=Good,94.0727147457005
2006,56,1. Male,4. College Grad,1. <=Good,99.6894636984864
2004,36,1. Male,3. Some College,2. >=Very Good,176.98965048987702
2005,23,1. Male,2. HS Grad,2. >=Very Good,73.77574327469459
2003,46,1. Male,3. Some College,2. >=Very Good,99.6894636984864
2009,26,1. Male,3. Some College,2. >=Very Good,94.0727147457005
2006,43,1. Male,1. < HS Grad,2. >=Very Good,95.23071256698191
2007,36,1. Male,2. HS Grad,2. >=Very Good,127.115743812184
2003,54,1. Male,3. Some College,1. <=Good,99.6894636984864
2003,62,1. Male,2. HS Grad,2. >=Very Good,95.6888119067371
2006,40,1. Male,2. HS Grad,2. >=Very Good,109.833985642199
2006,53,1. Male,3. Some College,2. >=Very Good,118.884359339886
2007,48,1. Male,5. Advanced Degree,2. >=Very Good,176.98965048987702
2004,23,1. Male,4. College Grad,2. >=Very Good,61.1875264339915
2009,34,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2004,43,1. Male,4. College Grad,2. >=Very Good,256.40064956242503
2006,55,1. Male,2. HS Grad,1. <=Good,81.2832532842527
2007,59,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2007,60,1. Male,2. HS Grad,2. >=Very Good,55.7673905084923
2009,49,1. Male,2. HS Grad,2. >=Very Good,75.3556793180091
2006,45,1. Male,3. Some College,2. >=Very Good,130.982177377461
2006,31,1. Male,2. HS Grad,2. >=Very Good,43.735111677982104
2004,34,1. Male,4. College Grad,1. <=Good,114.475713290347
2005,26,1. Male,5. Advanced Degree,2. >=Very Good,114.475713290347
2007,22,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2004,40,1. Male,2. HS Grad,1. <=Good,68.5721657022738
2009,41,1. Male,3. Some College,2. >=Very Good,109.833985642199
2006,36,1. Male,3. Some College,2. >=Very Good,97.49329404539341
2007,38,1. Male,1. < HS Grad,2. >=Very Good,62.398354720568506
