year,age,sex,education,health,wage
2009,47,1. Male,3. Some College,2. >=Very Good,92.89584478949659
2007,45,1. Male,4. College Grad,1. <=Good,148.413159102577
2009,52,1. Male,2. HS Grad,2. >=Very Good,119.74255628990801
2007,46,1. Male,2. HS Grad,2. >=Very Good,82.6796372966372
2007,47,1. Male,4. College Grad,2. >=Very Good,105.927810775063
2009,49,1. Male,2. HS Grad,2. >=Very Good,267.901086855275
2007,36,1. Male,1. < HS Grad,1. <=Good,104.921506533664
2005,51,1. Male,4. College Grad,1. <=Good,127.115743812184
2008,46,1. Male,2. HS Grad,2. >=Very Good,157.700527725737
2004,37,1. Male,4. College Grad,2. >=Very Good,148.413159102577
2005,23,1. Male,3. Some College,2. >=Very Good,65.1108537153447
2008,43,1. Male,4. College Grad,2. >=Very Good,104.921506533664
2006,34,1. Male,4. College Grad,2. >=Very Good,78.39246680098371
2008,58,1. Male,2. HS Grad,2. >=Very Good,139.213788138664
2009,44,1. Male,4. College Grad,2. >=Very Good,112.64889634209999
2008,61,1. Male,4. College Grad,2. >=Very Good,79.8549003093467
2005,40,1. Male,1. < HS Grad,2. >=Very Good,65.1108537153447
2003,37,1. Male,3. Some College,2. >=Very Good,111.72084936098899
2003,33,1. Male,2. HS Grad,2. >=Very Good,104.921506533664
2004,38,1. Male,3. Some College,2. >=Very Good,176.98965048987702
2006,41,1. Male,2. HS Grad,1. <=Good,99.6894636984864
2005,30,1. Male,2. HS Grad,2. >=Very Good,104.921506533664
2003,51,1. Male,1. < HS Grad,1. <=Good,70.8150386167557
2003,39,1. Male,3. Some College,2. >=Very Good,94.0727147457005
2006,56,1. Male,3. Some College,2. >=Very Good,127.115743812184
2007,44,1. Male,2. HS Grad,1. <=Good,97.49329404539341
2005,51,1. Male,5. Advanced Degree,2. >=Very Good,109.833985642199
2006,35,1. Male,2. HS Grad,2. >=Very Good,75.19962814859458
2009,27,1. Male,2. HS Grad,1. <=Good,65.1108537153447
2003,47,1. Male,3. Some College,1. <=Good,146.462838515063
2007,51,1. Male,3. Some College,1. <=Good,81.2832532842527
2006,41,1. Male,2. HS Grad,2. >=Very Good,127.115743812184
2005,63,1. Male,1. < HS Grad,1. <=Good,73.77574327469459
2009,61,1. Male,2. HS Grad,1. <=Good,65.1108537153447
2004,46,1. Male,2. HS Grad,1. <=Good,99.6894636984864
2009,33,1. Male,3. Some College,2. >=Very Good,79.8549003093467
2009,35,1. Male,1. < HS Grad,1. <=Good,73.77574327469459
2003,28,1. Male,5. Advanced Degree,2. >=Very Good,87.98103278560541
2007,50,1. Male,3. Some College,2. >=Very Good,118.884359339886
2007,41,1. Male,5. Advanced Degree,2. >=Very Good,284.52474090221403
2008,23,1. Male,4. College Grad,1. <=Good,118.884359339886
2004,45,1. Male,3. Some College,2. >=Very Good,106.92181409121099
2007,63,1. Male,5. Advanced Degree,2. >=Very Good,100.013486924706
2006,59,1. Male,3. Some College,1. <=Good,108.874525834712
2005,30,1. Male,4. College Grad,2. >=Very Good,114.475713290347
2003,30,1. Male,5. Advanced Degree,2. >=Very Good,115.37503855639099
2007,45,1. Male,2. HS Grad,1. <=Good,130.982177377461
2005,42,1. Male,2. HS Grad,1. <=Good,79.8549003093467
2009,57,1. Male,1. < HS Grad,2. >=Very Good,106.92181409121099
2003,52,1. Male,3. Some College,1. <=Good,22.962400679642897
