year,age,sex,education,health,wage
2007,35,1. Male,5. Advanced Degree,2. >=Very Good,94.0727147457005
2008,47,1. Male,2. HS Grad,2. >=Very Good,134.705375118879
2003,43,1. Male,4. College Grad,2. >=Very Good,81.2832532842527
2003,33,1. Male,1. < HS Grad,1. <=Good,81.2832532842527
2003,60,1. Male,5. Advanced Degree,2. >=Very Good,153.45751530896098
2008,38,1. Male,5. Advanced Degree,2. >=Very Good,136.876367635184
2005,53,1. Male,2. HS Grad,2. >=Very Good,75.0431540173515
2004,55,1. Male,3. Some College,2. >=Very Good,130.22083235877702
2003,57,1. Male,2. HS Grad,1. <=Good,104.921506533664
2005,64,1. Male,4. College Grad,1. <=Good,49.555338121522595
2007,43,1. Male,2. HS Grad,1. <=Good,123.908567597957
2008,35,1. Male,3. Some College,2. >=Very Good,123.089699847943
2008,54,1. Male,2. HS Grad,2. >=Very Good,78.155161407934
2007,45,1. Male,2. HS Grad,1. <=Good,73.77574327469459
2003,58,1. Male,4. College Grad,2. >=Very Good,138.299126920883
2007,48,1. Male,4. College Grad,1. <=Good,127.115743812184
2003,46,1. Male,1. < HS Grad,2. >=Very Good,68.7480877337669
2004,46,1. Male,2. HS Grad,2. >=Very Good,84.39111474778001
2009,55,1. Male,1. < HS Grad,2. >=Very Good,85.3839403789827
2006,51,1. Male,3. Some College,2. >=Very Good,128.680488220624
2005,49,1. Male,3. Some College,2. >=Very Good,70.47601964694451
2008,34,1. Male,3. Some College,2. >=Very Good,76.8936025176112
2007,53,1. Male,3. Some College,2. >=Very Good,148.413159102577
2004,40,1. Male,3. Some College,2. >=Very Good,148.413159102577
2009,50,1. Male,3. Some College,2. >=Very Good,175.960883130401
2006,37,1. Male,1. < HS Grad,1. <=Good,98.5993438603892
2003,39,1. Male,3. Some College,2. >=Very Good,145.143601176911
2004,52,1. Male,4. College Grad,1. <=Good,99.6894636984864
2003,50,1. Male,2. HS Grad,2. >=Very Good,141.08887439127
2006,48,1. Male,4. College Grad,2. >=Very Good,123.089699847943
2006,47,1. Male,2. HS Grad,2. >=Very Good,129.453644576625
2005,27,1. Male,4. College Grad,2. >=Very Good,111.72084936098899
2006,39,1. Male,2. HS Grad,2. >=Very Good,103.90247060316
2009,44,1. Male,2. HS Grad,1. <=Good,118.884359339886
2003,37,1. Male,3. Some College,2. >=Very Good,151.591484239814
2006,52,1. Male,2. HS Grad,1. <=Good,101.82435207568001
2004,26,1. Male,3. Some College,2. >=Very Good,99.6894636984864
2008,39,1. Male,5. Advanced Degree,1. <=Good,99.6894636984864
2006,25,1. Male,2. HS Grad,1. <=Good,99.6894636984864
2005,31,1. Male,4. College Grad,2. >=Very Good,94.0727147457005
2004,58,1. Male,3. Some College,1. <=Good,152.216806827106
2005,30,1. Male,4. College Grad,2. >=Very Good,104.921506533664
2004,27,1. Male,1. < HS Grad,1. <=Good,65.1108537153447
2003,40,1. Male,2. HS Grad,2. >=Very Good,95.23071256698191
2006,55,1. Male,5. Advanced Degree,2. >=Very Good,173.879493310012
2009,35,1. Male,5. Advanced Degree,2. >=Very Good,193.411070530969
2008,48,1. Male,2. HS Grad,1. <=Good,114.475713290347
2006,29,1. Male,4. College Grad,1. <=Good,160.642475408263
2005,25,1. Male,3. Some College,2. >=Very Good,89.49247951800008
2004,40,1. Male,3. Some College,2. >=Very Good,120.589436530402
