year,age,sex,education,health,wage
2009,62,1. Male,4. College Grad,2. >=Very Good,118.884359339886
2008,37,1. Male,4. College Grad,2. >=Very Good,121.430313822622
2004,54,1. Male,2. HS Grad,1. <=Good,111.72084936098899
2005,34,1. Male,3. Some College,2. >=Very Good,68.7480877337669
2008,50,1. Male,4. College Grad,2. >=Very Good,114.475713290347
2006,46,1. Male,3. Some College,1. <=Good,95.23071256698191
2007,41,1. Male,1. < HS Grad,2. >=Very Good,87.98103278560541
2003,63,1. Male,3. Some College,1. <=Good,64.27439722063271
2007,38,1. Male,3. Some College,1. <=Good,128.680488220624
2006,35,1. Male,3. Some College,2. >=Very Good,114.475713290347
2009,29,1. Male,4. College Grad,1. <=Good,112.64889634209999
2008,66,1. Male,1. < HS Grad,2. >=Very Good,81.2832532842527
2004,37,1. Male,2. HS Grad,1. <=Good,75.8954848228103
2006,39,1. Male,2. HS Grad,2. >=Very Good,112.136922992214
2003,42,1. Male,2. HS Grad,2. >=Very Good,85.3839403789827
2007,51,1. Male,2. HS Grad,2. >=Very Good,94.0727147457005
2009,55,1. Male,5. Advanced Degree,1. <=Good,114.475713290347
2006,51,1. Male,5. Advanced Degree,2. >=Very Good,176.98965048987702
2008,38,1. Male,5. Advanced Degree,1. <=Good,276.778413321176
2005,49,1. Male,2. HS Grad,2. >=Very Good,101.82435207568001
2006,42,1. Male,2. HS Grad,2. >=Very Good,91.69922611170419
2009,43,1. Male,1. < HS Grad,1. <=Good,86.6951548289402
2006,38,1. Male,4. College Grad,2. >=Very Good,162.946460744664
2008,59,1. Male,2. HS Grad,2. >=Very Good,139.213788138664
2009,57,1. Male,3. Some College,1. <=Good,95.23071256698191
2005,25,1. Male,2. HS Grad,1. <=Good,66.9616443217359
2004,49,1. Male,4. College Grad,1. <=Good,131.194323611687
2004,41,1. Male,1. < HS Grad,2. >=Very Good,90.48191335664009
2009,38,1. Male,2. HS Grad,2. >=Very Good,114.475713290347
2003,61,1. Male,5. Advanced Degree,2. >=Very Good,79.12808449562971
2007,49,1. Male,2. HS Grad,1. <=Good,104.59173792491801
2008,52,1. Male,5. Advanced Degree,2. >=Very Good,132.487821126123
2007,43,1. Male,5. Advanced Degree,2. >=Very Good,141.77517233318
2008,60,1. Male,4. College Grad,2. >=Very Good,123.089699847943
2005,46,1. Male,5. Advanced Degree,2. >=Very Good,134.705375118879
2004,21,1. Male,2. HS Grad,2. >=Very Good,55.7673905084923
2009,61,1. Male,4. College Grad,2. >=Very Good,106.92181409121099
2007,32,1. Male,5. Advanced Degree,2. >=Very Good,118.884359339886
2004,58,1. Male,2. HS Grad,1. <=Good,87.98103278560541
2003,35,1. Male,2. HS Grad,2. >=Very Good,88.9296066367913
2004,26,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2006,32,1. Male,2. HS Grad,2. >=Very Good,94.0727147457005
2003,37,1. Male,2. HS Grad,2. >=Very Good,106.92181409121099
2007,22,1. Male,2. HS Grad,1. <=Good,59.097064081589096
2005,51,1. Male,2. HS Grad,1. <=Good,65.1108537153447
2004,44,1. Male,5. Advanced Degree,1. <=Good,120.589436530402
2005,35,1. Male,5. Advanced Degree,2. >=Very Good,157.700527725737
2004,60,1. Male,2. HS Grad,2. >=Very Good,129.453644576625
2007,40,1. Male,4. College Grad,2. >=Very Good,176.98965048987702
2004,35,1. Male,1. < HS Grad,2. >=Very Good,59.097064081589096
